"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/1995,"18,204","18,069",135,"5,237","3,802","1,287",148,"5,091",2.79%,3.549
,1/1/1996,"18,314","18,178",136,"5,278","3,843","1,284",151,"5,121",2.97%,3.550
,1/1/1997,"18,471","18,334",137,"5,333","3,902","1,277",154,"5,166",3.13%,3.549
,1/1/1998,"18,554","18,416",138,"5,356","3,930","1,269",157,"5,179",3.30%,3.556
,1/1/1999,"18,665","18,526",139,"5,384","3,964","1,260",160,"5,196",3.49%,3.565
,1/1/2000,"18,859","18,719",140,"5,409","3,995","1,252",162,"5,211",3.66%,3.592
,4/1/2000,"18,931","18,791",140,"5,420","4,006","1,251",163,"5,220",3.69%,3.600
,,,,,,,,,,,
Fresno,4/1/1990,"2,311","2,305",6,546,348,145,53,532,2.56%,4.333
San Joaquin,1/1/1991,"2,340","2,334",6,543,346,143,54,528,2.76%,4.420
,1/1/1992,"2,611","2,606",5,598,345,199,54,580,3.01%,4.493
,1/1/1993,"2,655","2,651",4,617,366,196,55,598,3.08%,4.433
,1/1/1994,"2,718","2,714",4,638,388,194,56,616,3.45%,4.406
,1/1/1995,"2,828","2,825",3,653,406,191,56,630,3.52%,4.484
,1/1/1996,"2,937","2,934",3,677,431,189,57,651,3.84%,4.507
,1/1/1997,"2,972","2,970",2,682,438,186,58,655,3.96%,4.534
,1/1/1998,"3,010","3,009",1,688,446,184,58,659,4.22%,4.566
,1/1/1999,"3,085","3,084",1,701,461,181,59,671,4.28%,4.596
,1/1/2000,"3,247","3,247",0,732,493,179,60,699,4.51%,4.645
,4/1/2000,"3,270","3,270",0,735,497,178,60,702,4.49%,4.658
,,,,,,,,,,,
Fresno,4/1/1990,"14,757","14,609",148,"4,696","3,191","1,168",337,"4,556",2.98%,3.207
Selma,1/1/1991,"15,136","14,930",206,"4,783","3,266","1,148",369,"4,637",3.05%,3.220
,1/1/1992,"15,728","15,530",198,"4,901","3,405","1,121",375,"4,747",3.14%,3.272
,1/1/1993,"16,713","16,524",189,"5,051","3,571","1,099",381,"4,888",3.23%,3.381
,1/1/1994,"17,178","16,997",181,"5,149","3,691","1,072",386,"4,979",3.30%,3.414
,1/1/1995,"17,360","17,187",173,"5,277","3,796","1,089",392,"5,099",3.37%,3.371
,1/1/1996,"17,790","17,625",165,"5,405","3,907","1,100",398,"5,218",3.46%,3.378
,1/1/1997,"18,148","17,991",157,"5,511","4,024","1,084",403,"5,316",3.54%,3.384
,1/1/1998,"18,492","18,344",148,"5,601","4,134","1,058",409,"5,399",3.61%,3.398
,1/1/1999,"18,985","18,845",140,"5,734","4,288","1,031",415,"5,523",3.68%,3.412
,1/1/2000,"19,302","19,170",132,"5,785","4,359","1,005",421,"5,569",3.73%,3.442
,4/1/2000,"19,444","19,314",130,"5,815","4,395",998,422,"5,596",3.77%,3.451
,,,,,,,,,,,
Fresno,4/1/1990,"507,969","498,274","9,695","179,002","107,940","65,016","6,047","169,626",5.24%,2.937
Incorporated,1/1/1991,"524,239","514,512","9,727","183,987","111,462","66,405","6,120","174,307",5.26%,2.952
,1/1/1992,"544,730","534,206","10,524","188,614","114,932","67,487","6,195","178,639",5.29%,2.990
,1/1/1993,"560,081","549,383","10,698","192,069","117,950","67,865","6,254","181,871",5.31%,3.021
,1/1/1994,"572,300","561,782","10,518","195,697","121,493","67,892","6,312","185,261",5.33%,3.032
,1/1/1995,"583,484","572,866","10,618","199,015","124,662","68,000","6,353","188,361",5.35%,3.041
,1/1/1996,"592,713","582,334","10,379","202,313","127,434","68,482","6,397","191,431",5.38%,3.042
,1/1/1997,"601,860","591,523","10,337","205,411","130,100","68,866","6,445","194,325",5.40%,3.044
,1/1/1998,"608,794","598,341","10,453","207,384","132,128","68,768","6,488","196,148",5.42%,3.050
,1/1/1999,"616,801","606,394","10,407","209,690","134,510","68,649","6,531","198,277",5.44%,3.058
,1/1/2000,"631,688","616,432","15,256","211,670","136,263","68,832","6,575","200,107",5.46%,3.081
,4/1/2000,"635,002","619,806","15,196","212,374","136,994","68,794","6,586","200,766",5.47%,3.087
,,,,,,,,,,,
Fresno,4/1/1990,"159,521","156,696","2,825","56,561","46,339","3,590","6,631","51,307",9.29%,3.054
Balance of County,1/1/1991,"158,516","155,836","2,680","56,723","46,490","3,571","6,662","51,394",9.39%,3.032
,1/1/1992,"160,990","158,342","2,648","57,064","46,751","3,553","6,760","51,625",9.53%,3.067
,1/1/1993,"163,332","160,699","2,633","57,158","46,877","3,508","6,773","51,630",9.67%,3.113
,1/1/1994,"163,507","160,899","2,608","57,382","47,053","3,469","6,860","51,754",9.81%,3.109
,1/1/1995,"164,940","161,433","3,507","57,740","47,351","3,423","6,966","51,998",9.94%,3.105
,1/1/1996,"168,430","161,861","6,569","58,141","47,671","3,379","7,091","52,283",10.08%,3.096
,1/1/1997,"168,737","161,638","7,099","58,319","47,966","3,341","7,012","52,365",10.21%,3.087
,1/1/1998,"168,769","161,596","7,173","58,447","48,218","3,295","6,934","52,402",10.34%,3.084
,1/1/1999,"168,219","161,193","7,026","58,400","48,293","3,252","6,855","52,280",10.48%,3.083
,1/1/2000,"164,499","162,023","2,476","58,487","48,502","3,209","6,776","52,279",10.61%,3.099
,4/1/2000,"164,405","161,934","2,471","58,393","48,439","3,198","6,756","52,174",10.65%,3.104
,,,,,,,,,,,
Fresno,4/1/1990,"667,490","654,970","12,520","235,563","154,279","68,606","12,678","220,933",6.21%,2.965
County Total,1/1/1991,"682,755","670,348","12,407","240,710","157,952","69,976","12,782","225,701",6.24%,2.970
,1/1/1992,"705,720","692,548","13,172","245,678","161,683","71,040","12,955","230,264",6.27%,3.008
,1/1/1993,"723,413","710,082","13,331","249,227","164,827","71,373","13,027","233,501",6.31%,3.041
,1/1/1994,"735,807","722,681","13,126","253,079","168,546","71,361","13,172","237,015",6.35%,3.049
,1/1/1995,"748,424","734,299","14,125","256,755","172,013","71,423","13,319","240,359",6.39%,3.055
,1/1/1996,"761,143","744,195","16,948","260,454","175,105","71,861","13,488","243,714",6.43%,3.054
,1/1/1997,"770,597","753,161","17,436","263,730","178,066","72,207","13,457","246,690",6.46%,3.053
,1/1/1998,"777,563","759,937","17,626","265,831","180,346","72,063","13,422","248,550",6.50%,3.057
,1/1/1999,"785,020","767,587","17,433","268,090","182,803","71,901","13,386","250,557",6.54%,3.064
,1/1/2000,"796,187","778,455","17,732","270,157","184,765","72,041","13,351","252,386",6.58%,3.084
,4/1/2000,"799,407","781,740","17,667","270,767","185,433","71,992","13,342","252,940",6.58%,3.091
,,,,,,,,,,,
Glenn,4/1/1990,"5,052","4,985",67,"2,008","1,484",438,86,"1,913",4.73%,2.606
Orland,1/1/1991,"5,179","5,115",64,"2,019","1,496",440,83,"1,922",4.80%,2.661
,1/1/1992,"5,435","5,376",59,"2,090","1,522",491,77,"1,989",4.83%,2.703
,1/1/1993,"5,531","5,476",55,"2,121","1,544",505,72,"2,019",4.81%,2.712
,1/1/1994,"5,653","5,602",51,"2,180","1,607",507,66,"2,074",4.86%,2.701
,1/1/1995,"5,832","5,785",47,"2,200","1,628",511,61,"2,092",4.91%,2.765
,1/1/1996,"5,909","5,867",42,"2,204","1,634",514,56,"2,094",4.99%,2.802
,1/1/1997,"5,963","5,925",38,"2,210","1,644",516,50,"2,099",5.02%,2.823
,1/1/1998,"6,084","6,050",34,"2,250","1,688",518,44,"2,136",5.07%,2.832
,1/1/1999,"6,158","6,129",29,"2,283","1,723",521,39,"2,166",5.12%,2.830
,1/1/2000,"6,265","6,240",25,"2,309","1,753",523,33,"2,190",5.15%,2.849
,4/1/2000,"6,281","6,257",24,"2,309","1,753",524,32,"2,190",5.15%,2.857
,,,,,,,,,,,
Glenn,4/1/1990,"5,988","5,831",157,"2,240","1,546",690,4,"2,138",4.55%,2.727
Willows,1/1/1991,"6,030","5,864",166,"2,240","1,540",696,4,"2,128",5.00%,2.756
,1/1/1992,"6,102","5,934",168,"2,256","1,549",702,5,"2,131",5.54%,2.785
,1/1/1993,"6,213","6,044",169,"2,311","1,594",712,5,"2,171",6.06%,2.784
,1/1/1994,"6,186","6,015",171,"2,318","1,593",720,5,"2,165",6.60%,2.778
,1/1/1995,"6,245","6,072",173,"2,327","1,596",726,5,"2,161",7.13%,2.810
,1/1/1996,"6,298","6,124",174,"2,341","1,602",733,6,"2,162",7.65%,2.833
,1/1/1997,"6,286","6,110",176,"2,344","1,597",741,6,"2,152",8.19%,2.839
,1/1/1998,"6,247","6,070",177,"2,345","1,592",747,6,"2,141",8.70%,2.835
,1/1/1999,"6,232","6,053",179,"2,367","1,606",754,7,"2,149",9.21%,2.817
,1/1/2000,"6,218","6,037",181,"2,368","1,600",761,7,"2,137",9.76%,2.825
,4/1/2000,"6,220","6,039",181,"2,368","1,598",763,7,"2,134",9.88%,2.830
,,,,,,,,,,,
Glenn,4/1/1990,"11,040","10,816",224,"4,248","3,030","1,128",90,"4,051",4.64%,2.670
Incorporated,1/1/1991,"11,209","10,979",230,"4,259","3,036","1,136",87,"4,050",4.91%,2.711
,1/1/1992,"11,537","11,310",227,"4,346","3,071","1,193",82,"4,120",5.20%,2.745
,1/1/1993,"11,744","11,520",224,"4,432","3,138","1,217",77,"4,190",5.46%,2.749
,1/1/1994,"11,839","11,617",222,"4,498","3,200","1,227",71,"4,239",5.76%,2.741
,1/1/1995,"12,077","11,857",220,"4,527","3,224","1,237",66,"4,253",6.05%,2.788
,1/1/1996,"12,207","11,991",216,"4,545","3,236","1,247",62,"4,256",6.36%,2.817
,1/1/1997,"12,249","12,035",214,"4,554","3,241","1,257",56,"4,251",6.65%,2.831
,1/1/1998,"12,331","12,120",211,"4,595","3,280","1,265",50,"4,277",6.92%,2.834
,1/1/1999,"12,390","12,182",208,"4,650","3,329","1,275",46,"4,315",7.20%,2.823
,1/1/2000,"12,483","12,277",206,"4,677","3,353","1,284",40,"4,327",7.48%,2.837
,4/1/2000,"12,501","12,296",205,"4,677","3,351","1,287",39,"4,324",7.55%,2.844
,,,,,,,,,,,
Glenn,4/1/1990,"13,758","13,630",128,"5,081","3,633",169,"1,279","4,770",6.12%,2.857
Balance of County,1/1/1991,"13,864","13,744",120,"5,118","3,661",166,"1,291","4,796",6.29%,2.866
,1/1/1992,"14,000","13,848",152,"5,148","3,688",161,"1,299","4,810",6.57%,2.879
,1/1/1993,"14,092","13,952",140,"5,188","3,717",159,"1,312","4,834",6.82%,2.886
,1/1/1994,"14,082","13,927",155,"5,223","3,745",154,"1,324","4,854",7.06%,2.869
,1/1/1995,"14,084","13,922",162,"5,273","3,776",165,"1,332","4,888",7.30%,2.848
,1/1/1996,"14,163","14,002",161,"5,287","3,789",161,"1,337","4,888",7.55%,2.865
,1/1/1997,"14,155","13,991",164,"5,292","3,794",156,"1,342","4,880",7.79%,2.867
,1/1/1998,"14,062","13,896",166,"5,288","3,799",151,"1,338","4,862",8.06%,2.858
,1/1/1999,"13,925","13,756",169,"5,294","3,807",146,"1,341","4,854",8.31%,2.834
,1/1/2000,"13,922","13,741",181,"5,297","3,813",141,"1,343","4,844",8.55%,2.837
,4/1/2000,"13,952","13,769",183,"5,305","3,817",140,"1,348","4,848",8.61%,2.840
,,,,,,,,,,,
Glenn,4/1/1990,"24,798","24,446",352,"9,329","6,663","1,297","1,369","8,821",5.45%,2.771
County Total,1/1/1991,"25,073","24,723",350,"9,377","6,697","1,302","1,378","8,846",5.66%,2.795
,1/1/1992,"25,537","25,158",379,"9,494","6,759","1,354","1,381","8,930",5.94%,2.817
,1/1/1993,"25,836","25,472",364,"9,620","6,855","1,376","1,389","9,024",6.20%,2.823
,1/1/1994,"25,921","25,544",377,"9,721","6,945","1,381","1,395","9,093",6.46%,2.809
,1/1/1995,"26,161","25,779",382,"9,800","7,000","1,402","1,398","9,141",6.72%,2.820
,1/1/1996,"26,370","25,993",377,"9,832","7,025","1,408","1,399","9,144",7.00%,2.843
,1/1/1997,"26,404","26,026",378,"9,846","7,035","1,413","1,398","9,131",7.26%,2.850
,1/1/1998,"26,393","26,016",377,"9,883","7,079","1,416","1,388","9,139",7.53%,2.847
,1/1/1999,"26,315","25,938",377,"9,944","7,136","1,421","1,387","9,169",7.79%,2.829
,1/1/2000,"26,405","26,018",387,"9,974","7,166","1,425","1,383","9,171",8.05%,2.837
,4/1/2000,"26,453","26,065",388,"9,982","7,168","1,427","1,387","9,172",8.11%,2.842
,,,,,,,,,,,
Humboldt,4/1/1990,"15,211","13,911","1,300","6,309","3,174","2,445",690,"6,080",3.63%,2.288
Arcata,1/1/1991,"15,328","14,068","1,260","6,419","3,229","2,501",689,"6,189",3.58%,2.273
,1/1/1992,"15,658","14,318","1,340","6,540","3,274","2,578",688,"6,310",3.52%,2.269
,1/1/1993,"15,844","14,490","1,354","6,650","3,322","2,641",687,"6,420",3.46%,2.257
,1/1/1994,"15,763","14,686","1,077","6,746","3,350","2,711",685,"6,518",3.38%,2.253
,1/1/1995,"16,087","14,766","1,321","6,843","3,394","2,757",692,"6,615",3.33%,2.232
,1/1/1996,"16,516","14,936","1,580","6,987","3,440","2,856",691,"6,759",3.26%,2.210
,1/1/1997,"16,593","14,959","1,634","7,020","3,456","2,875",689,"6,794",3.22%,2.202
,1/1/1998,"16,578","15,002","1,576","7,078","3,486","2,905",687,"6,855",3.15%,2.188
,1/1/1999,"16,603","15,185","1,418","7,214","3,534","2,995",685,"6,989",3.12%,2.173
,1/1/2000,"16,685","15,257","1,428","7,264","3,570","3,011",683,"7,042",3.06%,2.167
,4/1/2000,"16,651","15,220","1,431","7,272","3,577","3,012",683,"7,051",3.04%,2.159
,,,,,,,,,,,
Humboldt,4/1/1990,"1,235","1,235",0,540,356,106,78,497,7.96%,2.485
Blue Lake,1/1/1991,"1,251","1,251",0,543,360,105,78,500,7.92%,2.502
,1/1/1992,"1,252","1,252",0,552,365,110,77,507,8.15%,2.469
,1/1/1993,"1,252","1,252",0,552,366,109,77,506,8.33%,2.474
,1/1/1994,"1,227","1,227",0,554,370,108,76,507,8.48%,2.420
,1/1/1995,"1,209","1,209",0,556,375,106,75,507,8.81%,2.385
,1/1/1996,"1,188","1,188",0,555,376,105,74,506,8.83%,2.348
,1/1/1997,"1,177","1,177",0,556,378,104,74,506,8.99%,2.326
,1/1/1998,"1,172","1,172",0,559,380,106,73,509,8.94%,2.303
,1/1/1999,"1,150","1,150",0,556,379,105,72,505,9.17%,2.277
,1/1/2000,"1,142","1,142",0,556,381,104,71,504,9.35%,2.266
,4/1/2000,"1,137","1,137",0,557,382,104,71,505,9.34%,2.251
,,,,,,,,,,,
Humboldt,4/1/1990,"27,025","26,129",896,"11,781","7,937","3,650",194,"11,137",5.47%,2.346
Eureka,1/1/1991,"27,100","26,172",928,"11,790","7,910","3,688",192,"11,142",5.50%,2.349
,1/1/1992,"27,365","26,325","1,040","11,766","7,874","3,702",190,"11,116",5.52%,2.368
,1/1/1993,"27,387","26,266","1,121","11,798","7,856","3,754",188,"11,141",5.57%,2.358
,1/1/1994,"27,089","26,001","1,088","11,784","7,816","3,782",186,"11,124",5.60%,2.337
,1/1/1995,"27,103","25,968","1,135","11,792","7,772","3,836",184,"11,127",5.64%,2.334
,1/1/1996,"26,733","25,551","1,182","11,742","7,722","3,838",182,"11,075",5.68%,2.307
,1/1/1997,"26,626","25,326","1,300","11,702","7,686","3,836",180,"11,034",5.71%,2.295
,1/1/1998,"26,390","25,130","1,260","11,718","7,657","3,883",178,"11,047",5.73%,2.275
,1/1/1999,"26,194","24,902","1,292","11,676","7,626","3,874",176,"10,998",5.81%,2.264
,1/1/2000,"26,099","24,756","1,343","11,648","7,593","3,881",174,"10,969",5.83%,2.257
,4/1/2000,"26,128","24,773","1,355","11,637","7,585","3,878",174,"10,957",5.84%,2.261
,,,,,,,,,,,
Humboldt,4/1/1990,"1,331","1,331",0,595,490,105,0,566,4.87%,2.352
Ferndale,1/1/1991,"1,320","1,320",0,597,492,104,1,567,5.03%,2.328
,1/1/1992,"1,354","1,354",0,608,504,102,2,577,5.10%,2.347
,1/1/1993,"1,369","1,369",0,618,515,101,2,585,5.34%,2.340
,1/1/1994,"1,329","1,329",0,636,526,107,3,579,8.96%,2.295
,1/1/1995,"1,235","1,235",0,641,531,106,4,554,13.57%,2.229
,1/1/1996,"1,225","1,225",0,646,537,104,5,557,13.78%,2.199
,1/1/1997,"1,222","1,222",0,651,542,103,6,561,13.82%,2.178
,1/1/1998,"1,376","1,376",0,656,548,101,7,617,5.95%,2.230
,1/1/1999,"1,346","1,324",22,653,554,91,8,605,7.35%,2.188
,1/1/2000,"1,340","1,317",23,659,560,90,9,608,7.74%,2.166
,4/1/2000,"1,382","1,382",0,663,564,90,9,611,7.84%,2.262
,,,,,,,,,,,
Humboldt,4/1/1990,"8,788","8,611",177,"3,711","2,468",874,369,"3,531",4.85%,2.439
Fortuna,1/1/1991,"8,894","8,714",180,"3,771","2,511",884,376,"3,587",4.88%,2.429
,1/1/1992,"9,065","8,885",180,"3,824","2,561",880,383,"3,636",4.92%,2.444
,1/1/1993,"9,252","9,057",195,"3,867","2,599",877,391,"3,675",4.97%,2.464
,1/1/1994,"9,439","9,205",234,"3,960","2,685",877,398,"3,762",5.00%,2.447
,1/1/1995,"9,910","9,676",234,"4,048","2,772",871,405,"3,844",5.04%,2.517
,1/1/1996,"10,017","9,783",234,"4,130","2,854",864,412,"3,921",5.06%,2.495
,1/1/1997,"10,181","9,947",234,"4,211","2,936",856,419,"3,997",5.08%,2.489
,1/1/1998,"10,317","10,082",235,"4,289","3,014",849,426,"4,070",5.11%,2.477
,1/1/1999,"10,390","10,155",235,"4,347","3,073",841,433,"4,124",5.13%,2.462
,1/1/2000,"10,496","10,261",235,"4,398","3,125",833,440,"4,171",5.16%,2.460
,4/1/2000,"10,498","10,263",235,"4,414","3,141",831,442,"4,185",5.19%,2.452
,,,,,,,,,,,
Humboldt,4/1/1990,"2,997","2,986",11,"1,231",930,194,108,"1,151",6.50%,2.594
Rio Dell,1/1/1991,"3,048","3,041",7,"1,254",939,201,114,"1,163",7.26%,2.615
,1/1/1992,"3,070","3,062",8,"1,266",943,200,123,"1,163",8.14%,2.633
,1/1/1993,"3,055","3,047",8,"1,271",941,196,134,"1,156",9.05%,2.636
,1/1/1994,"3,067","3,059",8,"1,289",952,194,143,"1,160",10.01%,2.637
,1/1/1995,"2,990","2,982",8,"1,317",969,193,155,"1,175",10.78%,2.538
,1/1/1996,"3,042","3,033",9,"1,351",990,192,169,"1,195",11.55%,2.538
,1/1/1997,"3,091","3,082",9,"1,377","1,001",190,186,"1,206",12.42%,2.556
,1/1/1998,"3,120","3,111",9,"1,396","1,005",189,202,"1,212",13.18%,2.567
,1/1/1999,"3,151","3,141",10,"1,417","1,012",188,217,"1,220",13.90%,2.575
,1/1/2000,"3,176","3,166",10,"1,430","1,018",187,225,"1,221",14.62%,2.593
,4/1/2000,"3,174","3,164",10,"1,434","1,021",186,227,"1,221",14.85%,2.591
,,,,,,,,,,,
Humboldt,4/1/1990,362,361,1,200,159,22,19,170,15.00%,2.124
Trinidad,1/1/1991,359,358,1,201,160,21,20,169,15.92%,2.118
,1/1/1992,352,351,1,204,163,20,21,170,16.67%,2.065
,1/1/1993,355,354,1,208,167,19,22,171,17.79%,2.070
,1/1/1994,345,344,1,210,168,18,24,170,19.05%,2.024
,1/1/1995,346,345,1,213,171,17,25,169,20.66%,2.041
,1/1/1996,338,338,0,215,173,16,26,168,21.86%,2.012
,1/1/1997,333,333,0,217,175,15,27,168,22.58%,1.982
,1/1/1998,327,327,0,219,178,13,28,167,23.74%,1.958
,1/1/1999,317,317,0,224,182,12,30,167,25.45%,1.898
,1/1/2000,315,315,0,228,186,11,31,168,26.32%,1.875
,4/1/2000,312,312,0,228,186,11,31,168,26.32%,1.857
,,,,,,,,,,,
Humboldt,4/1/1990,"56,949","54,564","2,385","24,367","15,514","7,396","1,458","23,132",5.07%,2.359
Incorporated,1/1/1991,"57,300","54,924","2,376","24,575","15,601","7,504","1,470","23,317",5.12%,2.356
,1/1/1992,"58,116","55,547","2,569","24,760","15,684","7,592","1,484","23,479",5.17%,2.366
,1/1/1993,"58,514","55,835","2,679","24,964","15,766","7,697","1,501","23,654",5.25%,2.360
,1/1/1994,"58,259","55,851","2,408","25,179","15,867","7,797","1,515","23,820",5.40%,2.345
,1/1/1995,"58,880","56,181","2,699","25,410","15,984","7,886","1,540","23,991",5.58%,2.342
,1/1/1996,"59,059","56,054","3,005","25,626","16,092","7,975","1,559","24,181",5.64%,2.318
,1/1/1997,"59,223","56,046","3,177","25,734","16,174","7,979","1,581","24,266",5.70%,2.310
,1/1/1998,"59,280","56,200","3,080","25,915","16,268","8,046","1,601","24,477",5.55%,2.296
,1/1/1999,"59,151","56,174","2,977","26,087","16,360","8,106","1,621","24,608",5.67%,2.283
,1/1/2000,"59,253","56,214","3,039","26,183","16,433","8,117","1,633","24,683",5.73%,2.277
,4/1/2000,"59,282","56,251","3,031","26,205","16,456","8,112","1,637","24,698",5.75%,2.278
,,,,,,,,,,,
Humboldt,4/1/1990,"62,169","61,085","1,084","26,767","20,291","1,658","4,817","23,288",13.00%,2.623
Balance of County,1/1/1991,"63,104","62,065","1,039","27,148","20,631","1,717","4,800","23,672",12.80%,2.622
,1/1/1992,"64,294","63,251","1,043","27,529","21,028","1,761","4,740","24,073",12.55%,2.627
,1/1/1993,"65,514","64,401","1,113","27,834","21,324","1,823","4,687","24,409",12.31%,2.638
,1/1/1994,"66,309","65,161","1,148","28,235","21,730","1,856","4,649","24,828",12.07%,2.624
,1/1/1995,"65,841","64,716","1,125","28,538","22,044","1,897","4,597","25,162",11.83%,2.572
,1/1/1996,"66,102","64,947","1,155","28,841","22,382","1,942","4,517","25,494",11.61%,2.548
,1/1/1997,"66,624","65,437","1,187","29,086","22,608","2,012","4,466","25,777",11.38%,2.539
,1/1/1998,"66,628","65,609","1,019","29,254","22,827","2,011","4,416","25,988",11.16%,2.525
,1/1/1999,"66,777","65,758","1,019","29,455","23,047","2,042","4,366","26,233",10.94%,2.507
,1/1/2000,"67,223","66,201","1,022","29,626","23,287","2,034","4,305","26,452",10.71%,2.503
,4/1/2000,"67,236","66,194","1,042","29,707","23,368","2,048","4,291","26,540",10.66%,2.494
,,,,,,,,,,,
Humboldt,4/1/1990,"119,118","115,649","3,469","51,134","35,805","9,054","6,275","46,420",9.22%,2.491
County Total,1/1/1991,"120,404","116,989","3,415","51,723","36,232","9,221","6,270","46,989",9.15%,2.490
,1/1/1992,"122,410","118,798","3,612","52,289","36,712","9,353","6,224","47,552",9.06%,2.498
,1/1/1993,"124,028","120,236","3,792","52,798","37,090","9,520","6,188","48,063",8.97%,2.502
,1/1/1994,"124,568","121,012","3,556","53,414","37,597","9,653","6,164","48,648",8.92%,2.488
,1/1/1995,"124,721","120,897","3,824","53,948","38,028","9,783","6,137","49,153",8.89%,2.460
,1/1/1996,"125,161","121,001","4,160","54,467","38,474","9,917","6,076","49,675",8.80%,2.436
,1/1/1997,"125,847","121,483","4,364","54,820","38,782","9,991","6,047","50,043",8.71%,2.428
,1/1/1998,"125,908","121,809","4,099","55,169","39,095","10,057","6,017","50,465",8.53%,2.414
,1/1/1999,"125,928","121,932","3,996","55,542","39,407","10,148","5,987","50,841",8.46%,2.398
,1/1/2000,"126,476","122,415","4,061","55,809","39,720","10,151","5,938","51,135",8.37%,2.394
,4/1/2000,"126,518","122,445","4,073","55,912","39,824","10,160","5,928","51,238",8.36%,2.390
,,,,,,,,,,,
Imperial,4/1/1990,"18,923","18,713",210,"6,124","4,055","1,690",379,"5,791",5.44%,3.231
Brawley,1/1/1991,"19,553","19,335",218,"6,244","4,172","1,687",385,"5,902",5.48%,3.276
,1/1/1992,"20,470","20,242",228,"6,407","4,231","1,784",392,"6,055",5.49%,3.343
,1/1/1993,"20,863","20,625",238,"6,474","4,304","1,780",390,"6,115",5.55%,3.373
,1/1/1994,"21,321","21,073",248,"6,612","4,404","1,796",412,"6,243",5.58%,3.375
,1/1/1995,"21,186","20,928",258,"6,771","4,564","1,788",419,"6,391",5.61%,3.275
,1/1/1996,"21,440","21,171",269,"6,839","4,627","1,786",426,"6,453",5.64%,3.281
,1/1/1997,"21,576","21,297",279,"6,895","4,685","1,777",433,"6,504",5.67%,3.274
,1/1/1998,"21,695","21,406",289,"6,959","4,752","1,768",439,"6,562",5.70%,3.262
,1/1/1999,"21,765","21,466",299,"6,982","4,777","1,759",446,"6,580",5.76%,3.262
,1/1/2000,"21,912","21,603",309,"7,013","4,811","1,748",454,"6,608",5.77%,3.269
,4/1/2000,"22,052","21,740",312,"7,038","4,840","1,742",456,"6,631",5.78%,3.279
,,,,,,,,,,,
Imperial,4/1/1990,"18,633","18,540",93,"4,832","3,107","1,430",295,"4,729",2.13%,3.920
Calexico,1/1/1991,"19,289","19,199",90,"4,982","3,216","1,478",288,"4,874",2.17%,3.939
,1/1/1992,"20,351","20,260",91,"5,191","3,412","1,500",279,"5,077",2.20%,3.991
,1/1/1993,"21,605","21,512",93,"5,499","3,631","1,598",270,"5,377",2.22%,4.001
,1/1/1994,"23,227","23,133",94,"5,851","3,939","1,652",260,"5,719",2.26%,4.045
,1/1/1995,"23,679","23,583",96,"6,073","4,158","1,662",253,"5,934",2.29%,3.974
,1/1/1996,"24,508","24,411",97,"6,281","4,308","1,729",244,"6,135",2.32%,3.979
