"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2008,"14,622","14,314",308,"7,510","4,947",345,"2,218","6,274","1,236",16.46%,2.281
,1/1/2009,"14,593","14,273",320,"7,518","4,951",357,"2,210","6,276","1,242",16.52%,2.274
,1/1/2010,"14,660","14,323",337,"7,548","4,974",366,"2,208","6,298","1,250",16.56%,2.274
,4/1/2010,"14,667","14,342",325,"7,552","4,978",368,"2,206","6,301","1,251",16.57%,2.276
,,,,,,,,,,,,
Inyo,4/1/2000,"18,071","17,788",283,"9,042","5,655",875,"2,512","7,703","1,339",14.81%,2.309
County Total,1/1/2001,"18,162","17,868",294,"9,076","5,680",889,"2,507","7,732","1,344",14.81%,2.311
,1/1/2002,"18,311","18,002",309,"9,131","5,698",907,"2,526","7,775","1,356",14.85%,2.315
,1/1/2003,"18,461","18,130",331,"9,168","5,724",924,"2,520","7,804","1,364",14.88%,2.323
,1/1/2004,"18,533","18,189",344,"9,221","5,739",943,"2,539","7,845","1,376",14.92%,2.319
,1/1/2005,"18,511","18,148",363,"9,259","5,754",961,"2,544","7,875","1,384",14.95%,2.305
,1/1/2006,"18,442","18,066",376,"9,331","5,772",980,"2,579","7,934","1,397",14.97%,2.277
,1/1/2007,"18,434","18,039",395,"9,382","5,791",998,"2,593","7,974","1,408",15.01%,2.262
,1/1/2008,"18,416","18,007",409,"9,428","5,813","1,027","2,588","8,013","1,415",15.01%,2.247
,1/1/2009,"18,416","17,992",424,"9,439","5,809","1,050","2,580","8,018","1,421",15.05%,2.244
,1/1/2010,"18,525","18,081",444,"9,473","5,825","1,070","2,578","8,045","1,428",15.07%,2.247
,4/1/2010,"18,546","18,113",433,"9,478","5,827","1,075","2,576","8,049","1,429",15.08%,2.250
,,,,,,,,,,,,
Kern,4/1/2000,"12,956","12,885",71,"3,145","2,346",543,256,"3,010",135,4.29%,4.281
Arvin,1/1/2001,"13,315","13,223",92,"3,219","2,415",557,247,"3,077",142,4.41%,4.297
,1/1/2002,"13,946","13,826",120,"3,340","2,528",576,236,"3,187",153,4.58%,4.338
,1/1/2003,"14,781","14,634",147,"3,508","2,645",638,225,"3,342",166,4.73%,4.379
,1/1/2004,"15,485","15,310",175,"3,643","2,772",657,214,"3,466",177,4.86%,4.417
,1/1/2005,"16,095","15,892",203,"3,766","2,842",721,203,"3,578",188,4.99%,4.442
,1/1/2006,"16,353","16,122",231,"3,836","2,905",740,191,"3,639",197,5.14%,4.430
,1/1/2007,"17,685","17,426",259,"4,144","3,079",885,180,"3,928",216,5.21%,4.436
,1/1/2008,"18,332","18,046",286,"4,299","3,226",904,169,"4,071",228,5.30%,4.433
,1/1/2009,"18,800","18,486",314,"4,384","3,298",929,157,"4,147",237,5.41%,4.458
,1/1/2010,"19,270","18,928",342,"4,460","3,367",947,146,"4,214",246,5.52%,4.492
,4/1/2010,"19,304","18,955",349,"4,476","3,381",952,143,"4,228",248,5.54%,4.483
,,,,,,,,,,,,
Kern,4/1/2000,"246,899","243,254","3,645","88,266","60,856","24,870","2,540","83,445","4,821",5.46%,2.915
Bakersfield,1/1/2001,"249,594","245,957","3,637","89,026","61,281","25,230","2,515","83,939","5,087",5.71%,2.930
,1/1/2002,"259,240","255,604","3,636","91,821","63,884","25,420","2,517","86,282","5,539",6.03%,2.962
,1/1/2003,"270,496","266,864","3,632","95,147","66,860","25,772","2,515","89,131","6,016",6.32%,2.994
,1/1/2004,"284,232","280,923","3,309","99,368","70,665","26,182","2,521","92,822","6,546",6.59%,3.026
,1/1/2005,"299,363","296,053","3,310","104,263","75,071","26,656","2,536","97,149","7,114",6.82%,3.047
,1/1/2006,"315,107","311,805","3,302","110,274","80,549","27,178","2,547","102,533","7,741",7.02%,3.041
,1/1/2007,"327,006","323,316","3,690","114,491","84,082","27,856","2,553","106,021","8,470",7.40%,3.050
,1/1/2008,"333,809","330,117","3,692","116,926","86,048","28,324","2,554","108,215","8,711",7.45%,3.051
,1/1/2009,"340,997","337,326","3,671","118,867","87,259","29,054","2,554","109,750","9,117",7.67%,3.074
,1/1/2010,"346,782","343,382","3,400","120,138","88,283","29,314","2,541","110,651","9,487",7.90%,3.103
,4/1/2010,"347,483","344,088","3,395","120,725","88,833","29,355","2,537","111,132","9,593",7.95%,3.096
,,,,,,,,,,,,
Kern,4/1/2000,"8,385","8,327",58,"3,560","2,728",526,306,"3,067",493,13.85%,2.715
California City,1/1/2001,"9,110","8,279",831,"3,563","2,735",516,312,"3,041",522,14.65%,2.722
,1/1/2002,"10,659","8,304","2,355","3,590","2,753",518,319,"3,027",563,15.68%,2.743
,1/1/2003,"10,915","8,312","2,603","3,608","2,770",508,330,"3,004",604,16.74%,2.767
,1/1/2004,"11,042","8,387","2,655","3,651","2,793",498,360,"3,003",648,17.75%,2.793
,1/1/2005,"11,090","8,458","2,632","3,707","2,847",489,371,"3,012",695,18.75%,2.808
,1/1/2006,"11,519","8,897","2,622","3,947","3,070",489,388,"3,181",766,19.41%,2.797
,1/1/2007,"12,498","9,890","2,608","4,430","3,519",495,416,"3,532",898,20.27%,2.800
,1/1/2008,"13,671","11,119","2,552","4,964","3,947",591,426,"3,978",986,19.86%,2.795
,1/1/2009,"14,096","11,422","2,674","5,180","4,117",626,437,"4,096","1,084",20.93%,2.789
,1/1/2010,"14,186","11,557","2,629","5,207","4,132",627,448,"4,109","1,098",21.09%,2.813
,4/1/2010,"14,120","11,506","2,614","5,210","4,135",624,451,"4,102","1,108",21.27%,2.805
,,,,,,,,,,,,
Kern,4/1/2000,"39,499","33,777","5,722","8,832","6,677","1,706",449,"8,411",421,4.77%,4.016
Delano,1/1/2001,"39,800","34,178","5,622","8,923","6,759","1,715",449,"8,502",421,4.72%,4.020
,1/1/2002,"40,674","35,048","5,626","9,090","6,907","1,734",449,"8,667",423,4.65%,4.044
,1/1/2003,"41,845","36,203","5,642","9,324","7,046","1,829",449,"8,895",429,4.60%,4.070
,1/1/2004,"42,871","37,323","5,548","9,541","7,245","1,847",449,"9,108",433,4.54%,4.098
,1/1/2005,"44,353","38,391","5,962","9,778","7,455","1,873",450,"9,339",439,4.49%,4.111
,1/1/2006,"48,375","39,229","9,146","10,046","7,679","1,918",449,"9,600",446,4.44%,4.086
,1/1/2007,"51,876","40,790","11,086","10,445","7,906","2,090",449,"9,986",459,4.39%,4.085
,1/1/2008,"52,633","41,398","11,235","10,628","7,991","2,188",449,"10,165",463,4.36%,4.073
,1/1/2009,"52,801","41,971","10,830","10,722","8,047","2,226",449,"10,261",461,4.30%,4.090
,1/1/2010,"53,110","42,221","10,889","10,713","8,020","2,244",449,"10,258",455,4.25%,4.116
,4/1/2010,"53,041","42,144","10,897","10,713","8,016","2,248",449,"10,260",453,4.23%,4.108
,,,,,,,,,,,,
Kern,4/1/2000,"1,111","1,111",0,460,254,14,192,404,56,12.17%,2.750
Maricopa,1/1/2001,"1,120","1,120",0,462,250,14,198,407,55,11.90%,2.752
,1/1/2002,"1,130","1,130",0,463,244,15,204,407,56,12.10%,2.776
,1/1/2003,"1,135","1,135",0,461,236,16,209,406,55,11.93%,2.796
,1/1/2004,"1,147","1,147",0,463,230,17,216,408,55,11.88%,2.811
,1/1/2005,"1,149","1,149",0,461,223,17,221,407,54,11.71%,2.823
,1/1/2006,"1,135","1,135",0,461,217,18,226,408,53,11.50%,2.782
,1/1/2007,"1,134","1,134",0,461,207,18,236,407,54,11.71%,2.786
,1/1/2008,"1,135","1,135",0,462,201,19,242,409,53,11.47%,2.775
,1/1/2009,"1,148","1,148",0,465,197,19,249,412,53,11.40%,2.786
,1/1/2010,"1,159","1,159",0,466,192,20,254,414,52,11.16%,2.800
,4/1/2010,"1,154","1,154",0,466,190,20,256,414,52,11.16%,2.787
,,,,,,,,,,,,
Kern,4/1/2000,"9,835","8,547","1,288","2,030","1,708",295,27,"1,989",41,2.02%,4.297
McFarland,1/1/2001,"9,755","8,510","1,245","2,021","1,700",291,30,"1,978",43,2.13%,4.302
,1/1/2002,"9,817","8,500","1,317","2,009","1,692",283,34,"1,963",46,2.29%,4.330
,1/1/2003,"10,372","9,090","1,282","2,135","1,809",286,40,"2,084",51,2.39%,4.362
,1/1/2004,"10,771","9,706","1,065","2,265","1,929",292,44,"2,209",56,2.47%,4.394
,1/1/2005,"11,616","10,519","1,097","2,447","2,052",347,48,"2,384",63,2.57%,4.412
,1/1/2006,"11,825","10,520","1,305","2,463","2,071",339,53,"2,396",67,2.72%,4.391
,1/1/2007,"11,879","10,884",995,"2,550","2,158",335,57,"2,478",72,2.82%,4.392
,1/1/2008,"12,484","11,139","1,345","2,619","2,230",328,61,"2,543",76,2.90%,4.380
,1/1/2009,"12,562","11,157","1,405","2,613","2,230",318,65,"2,535",78,2.99%,4.401
,1/1/2010,"12,820","11,555","1,265","2,688","2,310",309,69,"2,605",83,3.09%,4.436
,4/1/2010,"12,707","11,486","1,221","2,683","2,307",306,70,"2,599",84,3.13%,4.419
,,,,,,,,,,,,
Kern,4/1/2000,"24,927","24,618",309,"11,309","7,857","2,462",990,"9,826","1,483",13.11%,2.505
Ridgecrest,1/1/2001,"26,176","25,870",306,"11,303","7,853","2,467",983,"10,308",995,8.80%,2.510
,1/1/2002,"26,411","26,007",404,"11,297","7,852","2,472",973,"10,288","1,009",8.93%,2.528
,1/1/2003,"26,545","26,179",366,"11,317","7,875","2,478",964,"10,293","1,024",9.05%,2.543
,1/1/2004,"26,695","26,324",371,"11,348","7,908","2,484",956,"10,307","1,041",9.17%,2.554
,1/1/2005,"26,786","26,460",326,"11,376","7,937","2,490",949,"10,318","1,058",9.30%,2.564
,1/1/2006,"26,684","26,322",362,"11,477","8,043","2,496",938,"10,396","1,081",9.42%,2.532
,1/1/2007,"26,977","26,707",270,"11,657","8,190","2,518",949,"10,547","1,110",9.52%,2.532
,1/1/2008,"26,996","26,784",212,"11,760","8,285","2,525",950,"10,650","1,110",9.44%,2.515
,1/1/2009,"27,302","27,092",210,"11,871","8,303","2,627",941,"10,733","1,138",9.59%,2.524
,1/1/2010,"27,535","27,339",196,"11,901","8,334","2,632",935,"10,757","1,144",9.61%,2.542
,4/1/2010,"27,616","27,420",196,"11,915","8,349","2,634",932,"10,781","1,134",9.52%,2.543
,,,,,,,,,,,,
Kern,4/1/2000,"12,731","12,084",647,"3,623","2,895",517,211,"3,292",331,9.14%,3.671
Shafter,1/1/2001,"12,911","12,245",666,"3,646","2,916",519,211,"3,322",324,8.89%,3.686
,1/1/2002,"13,170","12,541",629,"3,686","2,959",515,212,"3,370",316,8.57%,3.721
,1/1/2003,"13,612","12,955",657,"3,758","3,003",543,212,"3,448",310,8.25%,3.757
,1/1/2004,"14,039","13,395",644,"3,835","3,053",570,212,"3,530",305,7.95%,3.795
,1/1/2005,"14,450","13,817",633,"3,920","3,112",596,212,"3,620",300,7.65%,3.817
,1/1/2006,"14,861","14,212",649,"4,032","3,197",623,212,"3,734",298,7.39%,3.806
,1/1/2007,"15,403","14,786",617,"4,176","3,316",649,211,"3,877",299,7.16%,3.814
,1/1/2008,"16,123","15,521",602,"4,378","3,399",768,211,"4,073",305,6.97%,3.811
,1/1/2009,"16,461","15,882",579,"4,440","3,440",788,212,"4,141",299,6.73%,3.835
,1/1/2010,"16,917","16,277",640,"4,501","3,471",818,212,"4,209",292,6.49%,3.867
,4/1/2010,"16,988","16,323",665,"4,521","3,484",825,212,"4,230",291,6.44%,3.859
,,,,,,,,,,,,
Kern,4/1/2000,"8,811","5,841","2,970","2,478","1,833",549,96,"2,233",245,9.89%,2.616
Taft,1/1/2001,"8,874","5,897","2,977","2,492","1,856",541,95,"2,244",248,9.95%,2.628
,1/1/2002,"8,926","5,969","2,957","2,496","1,883",519,94,"2,246",250,10.02%,2.658
,1/1/2003,"9,011","6,068","2,943","2,510","1,908",509,93,"2,256",254,10.12%,2.690
,1/1/2004,"8,999","6,127","2,872","2,505","1,914",499,92,"2,249",256,10.22%,2.724
,1/1/2005,"9,049","6,178","2,871","2,507","1,927",489,91,"2,249",258,10.29%,2.747
,1/1/2006,"9,125","6,190","2,935","2,516","1,944",479,93,"2,255",261,10.37%,2.745
,1/1/2007,"9,142","6,228","2,914","2,520","1,959",469,92,"2,256",264,10.48%,2.761
,1/1/2008,"9,205","6,241","2,964","2,522","1,970",461,91,"2,255",267,10.59%,2.768
,1/1/2009,"9,145","6,304","2,841","2,525","1,984",451,90,"2,257",268,10.61%,2.793
,1/1/2010,"9,290","6,370","2,920","2,525","1,995",441,89,"2,255",270,10.69%,2.825
,4/1/2010,"9,327","6,372","2,955","2,525","1,998",438,89,"2,254",271,10.73%,2.827
,,,,,,,,,,,,
Kern,4/1/2000,"11,125","6,558","4,567","2,914","1,978",666,270,"2,533",381,13.07%,2.589
Tehachapi,1/1/2001,"11,438","6,601","4,837","2,921","1,980",661,280,"2,543",378,12.94%,2.596
,1/1/2002,"11,160","6,670","4,490","2,922","1,971",653,298,"2,548",374,12.80%,2.618
,1/1/2003,"11,580","6,748","4,832","2,924","1,969",644,311,"2,555",369,12.62%,2.641
,1/1/2004,"11,959","6,920","5,039","2,965","1,970",637,358,"2,595",370,12.48%,2.667
,1/1/2005,"12,165","7,015","5,150","2,985","1,988",629,368,"2,616",369,12.36%,2.682
,1/1/2006,"12,899","7,465","5,434","3,186","2,154",628,404,"2,795",391,12.27%,2.671
,1/1/2007,"13,408","7,764","5,644","3,301","2,253",634,414,"2,900",401,12.15%,2.677
,1/1/2008,"13,512","8,149","5,363","3,463","2,413",626,424,"3,045",418,12.07%,2.676
,1/1/2009,"14,150","8,436","5,714","3,558","2,505",619,434,"3,133",425,11.94%,2.693
,1/1/2010,"14,453","8,482","5,971","3,543","2,488",611,444,"3,123",420,11.85%,2.716
,4/1/2010,"14,414","8,487","5,927","3,539","2,484",609,446,"3,121",418,11.81%,2.719
,,,,,,,,,,,,
Kern,4/1/2000,"21,263","15,044","6,219","4,256","3,395",731,130,"3,971",285,6.70%,3.788
Wasco,1/1/2001,"21,384","15,288","6,096","4,322","3,451",736,135,"4,034",288,6.66%,3.790
,1/1/2002,"21,646","15,755","5,891","4,427","3,545",742,140,"4,135",292,6.60%,3.810
,1/1/2003,"22,344","16,334","6,010","4,561","3,665",750,146,"4,262",299,6.56%,3.832
,1/1/2004,"22,934","16,774","6,160","4,653","3,744",758,151,"4,349",304,6.53%,3.857
,1/1/2005,"23,666","17,474","6,192","4,832","3,902",772,158,"4,519",313,6.48%,3.867
,1/1/2006,"24,186","18,088","6,098","5,029","4,085",781,163,"4,704",325,6.46%,3.845
,1/1/2007,"24,051","18,283","5,768","5,083","4,126",787,170,"4,757",326,6.41%,3.843
,1/1/2008,"24,926","19,035","5,891","5,306","4,251",879,176,"4,967",339,6.39%,3.832
,1/1/2009,"25,442","19,592","5,850","5,438","4,317",940,181,"5,092",346,6.36%,3.848
,1/1/2010,"25,533","19,836","5,697","5,472","4,339",946,187,"5,126",346,6.32%,3.870
,4/1/2010,"25,545","19,825","5,720","5,477","4,343",947,187,"5,131",346,6.32%,3.864
,,,,,,,,,,,,
Kern,4/1/2000,"397,542","372,046","25,496","130,873","92,527","32,879","5,467","122,181","8,692",6.64%,3.045
Incorporated,1/1/2001,"403,477","377,168","26,309","131,898","93,196","33,247","5,455","123,395","8,503",6.45%,3.057
,1/1/2002,"416,779","389,354","27,425","135,141","96,218","33,447","5,476","126,120","9,021",6.68%,3.087
,1/1/2003,"432,636","404,522","28,114","139,253","99,786","33,973","5,494","129,676","9,577",6.88%,3.119
,1/1/2004,"450,174","422,336","27,838","144,237","104,223","34,441","5,573","134,046","10,191",7.07%,3.151
,1/1/2005,"469,782","441,406","28,376","150,042","109,356","35,079","5,607","139,191","10,851",7.23%,3.171
,1/1/2006,"492,069","459,985","32,084","157,267","115,913","35,689","5,665","145,641","11,626",7.39%,3.158
,1/1/2007,"511,059","477,208","33,851","163,258","120,795","36,736","5,727","150,689","12,569",7.70%,3.167
,1/1/2008,"522,826","488,684","34,142","167,327","123,960","37,613","5,754","154,371","12,956",7.74%,3.166
,1/1/2009,"532,904","498,816","34,088","170,063","125,697","38,597","5,769","156,557","13,506",7.94%,3.186
,1/1/2010,"541,055","507,106","33,949","171,614","126,931","38,909","5,774","157,721","13,893",8.10%,3.215
,4/1/2010,"541,699","507,760","33,939","172,250","127,520","38,958","5,772","158,252","13,998",8.13%,3.209
,,,,,,,,,,,,
Kern,4/1/2000,"264,111","259,637","4,474","100,694","72,217","10,891","17,586","86,474","14,220",14.12%,3.002
Balance of County,1/1/2001,"268,527","263,977","4,550","102,317","73,961","10,853","17,503","87,909","14,408",14.08%,3.003
,1/1/2002,"271,284","266,934","4,350","102,872","74,526","10,947","17,399","88,429","14,443",14.04%,3.019
,1/1/2003,"274,475","270,335","4,140","103,550","75,232","11,001","17,317","89,053","14,497",14.00%,3.036
,1/1/2004,"278,698","274,692","4,006","104,461","76,243","10,968","17,250","89,878","14,583",13.96%,3.056
,1/1/2005,"281,187","277,383","3,804","105,361","77,017","11,122","17,222","90,693","14,668",13.92%,3.058
,1/1/2006,"281,993","278,450","3,543","106,861","78,182","11,419","17,260","91,371","15,490",14.50%,3.047
,1/1/2007,"284,923","281,658","3,265","108,765","79,642","11,753","17,370","92,348","16,417",15.09%,3.050
,1/1/2008,"290,004","286,874","3,130","110,891","80,882","12,493","17,516","94,370","16,521",14.90%,3.040
,1/1/2009,"292,599","289,624","2,975","111,527","81,361","12,967","17,199","94,933","16,594",14.88%,3.051
,1/1/2010,"296,019","293,194","2,825","112,149","81,834","13,366","16,949","95,425","16,724",14.91%,3.073
,4/1/2010,"297,932","295,114","2,818","112,117","81,873","13,379","16,865","96,358","15,759",14.06%,3.063
,,,,,,,,,,,,
Kern,4/1/2000,"661,653","631,683","29,970","231,567","164,744","43,770","23,053","208,655","22,912",9.89%,3.027
County Total,1/1/2001,"672,004","641,145","30,859","234,215","167,157","44,100","22,958","211,304","22,911",9.78%,3.034
,1/1/2002,"688,063","656,288","31,775","238,013","170,744","44,394","22,875","214,549","23,464",9.86%,3.059
,1/1/2003,"707,111","674,857","32,254","242,803","175,018","44,974","22,811","218,729","24,074",9.92%,3.085
,1/1/2004,"728,872","697,028","31,844","248,698","180,466","45,409","22,823","223,924","24,774",9.96%,3.113
,1/1/2005,"750,969","718,789","32,180","255,403","186,373","46,201","22,829","229,884","25,519",9.99%,3.127
,1/1/2006,"774,062","738,435","35,627","264,128","194,095","47,108","22,925","237,012","27,116",10.27%,3.116
,1/1/2007,"795,982","758,866","37,116","272,023","200,437","48,489","23,097","243,037","28,986",10.66%,3.122
,1/1/2008,"812,830","775,558","37,272","278,218","204,842","50,106","23,270","248,741","29,477",10.59%,3.118
,1/1/2009,"825,503","788,440","37,063","281,590","207,058","51,564","22,968","251,490","30,100",10.69%,3.135
,1/1/2010,"837,074","800,300","36,774","283,763","208,765","52,275","22,723","253,146","30,617",10.79%,3.161
,4/1/2010,"839,631","802,874","36,757","284,367","209,393","52,337","22,637","254,610","29,757",10.46%,3.153
,,,,,,,,,,,,
Kings,4/1/2000,"14,674","7,973","6,701","2,061","1,442",527,92,"1,928",133,6.45%,4.135
Avenal,1/1/2001,"15,098","8,012","7,086","2,076","1,448",535,93,"1,940",136,6.55%,4.130
,1/1/2002,"14,738","8,091","6,647","2,098","1,456",548,94,"1,956",142,6.77%,4.137
,1/1/2003,"15,193","8,093","7,100","2,133","1,479",559,95,"1,987",146,6.84%,4.073
,1/1/2004,"15,941","8,559","7,382","2,254","1,506",651,97,"2,097",157,6.97%,4.082
,1/1/2005,"15,898","8,690","7,208","2,277","1,510",668,99,"2,114",163,7.16%,4.111
,1/1/2006,"15,991","8,736","7,255","2,325","1,544",680,101,"2,156",169,7.27%,4.052
,1/1/2007,"16,389","8,737","7,652","2,338","1,544",692,102,"2,165",173,7.40%,4.036
,1/1/2008,"16,184","8,781","7,403","2,358","1,551",703,104,"2,180",178,7.55%,4.028
,1/1/2009,"15,456","8,882","6,574","2,378","1,558",715,105,"2,196",182,7.65%,4.045
,1/1/2010,"15,731","8,949","6,782","2,407","1,575",726,106,"2,220",187,7.77%,4.031
,4/1/2010,"15,505","9,082","6,423","2,410","1,575",729,106,"2,222",188,7.80%,4.087
,,,,,,,,,,,,
Kings,4/1/2000,"20,843","9,539","11,304","3,020","2,324",573,123,"2,772",248,8.21%,3.441
Corcoran,1/1/2001,"20,646","9,553","11,093","3,027","2,328",574,125,"2,775",252,8.33%,3.443
,1/1/2002,"20,970","9,579","11,391","3,031","2,326",577,128,"2,775",256,8.45%,3.452
,1/1/2003,"20,881","9,438","11,443","3,029","2,320",578,131,"2,771",258,8.52%,3.406
,1/1/2004,"21,716","9,528","12,188","3,053","2,338",581,134,"2,788",265,8.68%,3.418
,1/1/2005,"22,029","9,919","12,110","3,154","2,434",582,138,"2,877",277,8.78%,3.448
,1/1/2006,"22,829","10,328","12,501","3,326","2,516",667,143,"3,031",295,8.87%,3.407
,1/1/2007,"24,774","11,826","12,948","3,801","2,930",688,183,"3,462",339,8.92%,3.416
,1/1/2008,"25,283","12,138","13,145","3,900","2,990",722,188,"3,549",351,9.00%,3.420
,1/1/2009,"25,108","12,268","12,840","3,919","3,005",724,190,"3,563",356,9.08%,3.443
,1/1/2010,"24,748","12,343","12,405","3,952","3,033",726,193,"3,590",362,9.16%,3.438
,4/1/2010,"24,813","12,573","12,240","3,958","3,038",726,194,"3,594",364,9.20%,3.498
,,,,,,,,,,,,
Kings,4/1/2000,"41,687","40,839",848,"14,722","10,953","3,428",341,"13,932",790,5.37%,2.931
Hanford,1/1/2001,"42,462","41,610",852,"14,924","11,122","3,456",346,"14,123",801,5.37%,2.946
,1/1/2002,"43,689","42,832",857,"15,262","11,415","3,495",352,"14,441",821,5.38%,2.966
,1/1/2003,"44,466","43,604",862,"15,681","11,793","3,529",359,"14,838",843,5.38%,2.939
,1/1/2004,"46,096","45,229",867,"16,163","12,230","3,567",366,"15,293",870,5.38%,2.957
,1/1/2005,"48,016","47,144",872,"16,648","12,616","3,660",372,"15,750",898,5.39%,2.993
,1/1/2006,"48,920","48,043",877,"17,119","13,040","3,700",379,"16,195",924,5.40%,2.967
,1/1/2007,"50,534","49,652",882,"17,685","13,544","3,756",385,"16,730",955,5.40%,2.968
,1/1/2008,"51,922","51,034",888,"18,141","13,873","3,875",393,"17,161",980,5.40%,2.974
,1/1/2009,"52,970","52,077",893,"18,364","14,040","3,925",399,"17,371",993,5.41%,2.998
,1/1/2010,"53,484","52,586",898,"18,466","14,102","3,959",405,"17,467",999,5.41%,3.011
,4/1/2010,"53,967","53,068",899,"18,493","14,118","3,968",407,"17,492","1,001",5.41%,3.034
,,,,,,,,,,,,
Kings,4/1/2000,"19,712","19,710",2,"6,823","4,492","2,002",329,"6,450",373,5.47%,3.056
Lemoore,1/1/2001,"20,021","20,018",3,"6,925","4,630","1,967",328,"6,549",376,5.43%,3.057
,1/1/2002,"20,487","20,482",5,"7,079","4,833","1,920",326,"6,699",380,5.37%,3.057
,1/1/2003,"20,714","20,708",6,"7,264","5,067","1,873",324,"6,877",387,5.33%,3.011
,1/1/2004,"21,340","21,332",8,"7,474","5,326","1,826",322,"7,079",395,5.28%,3.013
,1/1/2005,"21,893","21,884",9,"7,612","5,513","1,779",320,"7,213",399,5.24%,3.034
,1/1/2006,"22,607","22,596",11,"7,964","5,765","1,881",318,"7,550",414,5.20%,2.993
,1/1/2007,"23,331","23,319",12,"8,249","6,027","1,906",316,"7,822",427,5.18%,2.981
,1/1/2008,"23,520","23,506",14,"8,338","6,165","1,859",314,"7,910",428,5.13%,2.972
,1/1/2009,"23,859","23,844",15,"8,426","6,290","1,825",311,"7,997",429,5.09%,2.982
,1/1/2010,"24,351","24,334",17,"8,621","6,407","1,906",308,"8,185",436,5.06%,2.973
,4/1/2010,"24,531","24,514",17,"8,632","6,431","1,894",307,"8,196",436,5.05%,2.991
,,,,,,,,,,,,
Kings,4/1/2000,"96,916","78,061","18,855","26,626","19,211","6,530",885,"25,082","1,544",5.80%,3.112
Incorporated,1/1/2001,"98,227","79,193","19,034","26,952","19,528","6,532",892,"25,387","1,565",5.81%,3.119
,1/1/2002,"99,884","80,984","18,900","27,470","20,030","6,540",900,"25,871","1,599",5.82%,3.130
,1/1/2003,"101,254","81,843","19,411","28,107","20,659","6,539",909,"26,473","1,634",5.81%,3.092
,1/1/2004,"105,093","84,648","20,445","28,944","21,400","6,625",919,"27,257","1,687",5.83%,3.106
,1/1/2005,"107,836","87,637","20,199","29,691","22,073","6,689",929,"27,954","1,737",5.85%,3.135
